State Name,Agency Name,Agency ID - NCES Assigned,County Name,County Number,Charter School,Title I School Status,Congressional Code,School Level,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,National School Lunch Program,School ID - NCES Assigned,School Name,District Entity ID,District Name,Percent Passing,Subject
Arizona,Bullhead City School District,"=""0401500""",Mohave County,"=""04015""",2-No,5-Title I schoolwide school,"=""0404""",Elementary,356,273,177,179,2,7,130,7,197,1,12,19.00,18.74,Yes under Community Eligibility Option (CEO),"=""040150002184""",Sunrise Elementary,4378,Bullhead City School District,32,English Language Arts
Arizona,Bullhead City School District,"=""0401500""",Mohave County,"=""04015""",2-No,5-Title I schoolwide school,"=""0404""",Elementary,356,273,177,179,2,7,130,7,197,1,12,19.00,18.74,Yes under Community Eligibility Option (CEO),"=""040150002184""",Sunrise Elementary,4378,Bullhead City School District,34,Math
Arizona,Deer Valley Unified District,"=""0407750""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0406""",Elementary,549,399,282,267,12,2,227,46,233,2,27,39.60,13.86,Yes participating without using any Provision or the CEO,"=""040775001048""",Sunrise Elementary School,4246,Deer Valley Unified District,29,English Language Arts
Arizona,Deer Valley Unified District,"=""0407750""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0406""",Elementary,549,399,282,267,12,2,227,46,233,2,27,39.60,13.86,Yes participating without using any Provision or the CEO,"=""040775001048""",Sunrise Elementary School,4246,Deer Valley Unified District,33,Math
Arizona,Yuma Elementary District,"=""0409600""",Yuma County,"=""04027""",2-No,5-Title I schoolwide school,"=""0404""",Elementary,533,286,289,244,3,6,283,11,227,2,1,25.95,20.54,Yes participating without using any Provision or the CEO,"=""040960002567""",Sunrise Elementary School,4499,Yuma Elementary District,52,English Language Arts
Arizona,Yuma Elementary District,"=""0409600""",Yuma County,"=""04027""",2-No,5-Title I schoolwide school,"=""0404""",Elementary,533,286,289,244,3,6,283,11,227,2,1,25.95,20.54,Yes participating without using any Provision or the CEO,"=""040960002567""",Sunrise Elementary School,4499,Yuma Elementary District,61,Math
Arizona,Paradise Valley Unified District,"=""0405930""",Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0406""",Middle,449,147,238,211,6,18,131,12,254,2,26,24.83,18.08,Yes participating without using any Provision or the CEO,"=""040593001136""",Sunrise Middle School,4241,Paradise Valley Unified District,46,English Language Arts
Arizona,Paradise Valley Unified District,"=""0405930""",Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0406""",Middle,449,147,238,211,6,18,131,12,254,2,26,24.83,18.08,Yes participating without using any Provision or the CEO,"=""040593001136""",Sunrise Middle School,4241,Paradise Valley Unified District,44,Math
Arizona,Peoria Unified School District,"=""0406250""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0408""",High,1871,279,981,890,5,45,311,54,1396,6,54,87.57,21.37,Yes participating without using any Provision or the CEO,"=""040625000589""",Sunrise Mountain High School,4237,Peoria Unified School District,36,English Language Arts
Arizona,Peoria Unified School District,"=""0406250""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0408""",High,1871,279,981,890,5,45,311,54,1396,6,54,87.57,21.37,Yes participating without using any Provision or the CEO,"=""040625000589""",Sunrise Mountain High School,4237,Peoria Unified School District,62,Math
Arizona,Paradise Valley Unified District,"=""0405930""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0406""",Elementary,434,242,236,198,9,4,179,19,201,"=""0""",22,26.00,16.69,Yes participating without using any Provision or the CEO,"=""040593001869""",Sunset Canyon School,4241,Paradise Valley Unified District,42,English Language Arts
Arizona,Paradise Valley Unified District,"=""0405930""",Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0406""",Elementary,434,242,236,198,9,4,179,19,201,"=""0""",22,26.00,16.69,Yes participating without using any Provision or the CEO,"=""040593001869""",Sunset Canyon School,4241,Paradise Valley Unified District,39,Math
ARIZONA,Peoria Unified School District,"=""0406250""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0408""",Elementary,982,127,483,499,6,37,133,23,731,5,47,43.33,22.66,Yes participating without using any Provision or the CEO,"=""040625003441""",Sunset Heights Elementary School,4237,Peoria Unified School District,62,English Language Arts
ARIZONA,Peoria Unified School District,"=""0406250""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0408""",Elementary,982,127,483,499,6,37,133,23,731,5,47,43.33,22.66,Yes participating without using any Provision or the CEO,"=""040625003441""",Sunset Heights Elementary School,4237,Peoria Unified School District,62,Math
Arizona,Dysart Unified District,"=""0402690""",Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0408""",Elementary,1119,380,567,552,13,11,327,56,636,"=""0""",76,50.50,22.16,Yes participating without using any Provision or the CEO,"=""040269002481""",Sunset Hills Elementary,4243,Dysart Unified District,47,English Language Arts
Arizona,Dysart Unified District,"=""0402690""",Maricopa County,"=""04013""",2-No,1-Title I targeted assistance eligible school-No program,"=""0408""",Elementary,1119,380,567,552,13,11,327,56,636,"=""0""",76,50.50,22.16,Yes participating without using any Provision or the CEO,"=""040269002481""",Sunset Hills Elementary,4243,Dysart Unified District,44,Math
Arizona,Pendergast Elementary District,"=""0406210""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0407""",Elementary,658,433,335,323,6,27,473,52,76,3,21,32.50,20.25,Yes under Provision 2,"=""040621002385""",Sunset Ridge Elementary School,4283,Pendergast Elementary District,33,English Language Arts
Arizona,Pendergast Elementary District,"=""0406210""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0407""",Elementary,658,433,335,323,6,27,473,52,76,3,21,32.50,20.25,Yes under Provision 2,"=""040621002385""",Sunset Ridge Elementary School,4283,Pendergast Elementary District,35,Math
Arizona,Cartwright Elementary District,"=""0401680""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0407""",Elementary,734,638,374,360,20,3,623,43,40,"=""0""",5,35.83,20.49,Yes under Provision 2,"=""040168000105""",Sunset School,4282,Cartwright Elementary District,50,English Language Arts
Arizona,Cartwright Elementary District,"=""0401680""",Maricopa County,"=""04013""",2-No,6-Not a Title I school,"=""0407""",Elementary,734,638,374,360,20,3,623,43,40,"=""0""",5,35.83,20.49,Yes under Provision 2,"=""040168000105""",Sunset School,4282,Cartwright Elementary District,81,Math
