State Name,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),School Level,Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Pupil/Teacher Ratio,Full-Time Equivalent (FTE) Teachers,School ID - NCES Assigned,District Entity ID,School Name,District Name,Percent Passing,Subject
Arizona,Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Tucson Unified District (4403),"=""0408800""",350,Elementary,276,182,168,18,9,230,36,44,2,11,17.49,20.01,"=""040880001113""",4403,Tully Elementary Accelerated Magnet School,Tucson Unified District,30,English Language Arts
Arizona,Pima County,"=""04019""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Tucson Unified District (4403),"=""0408800""",350,Elementary,276,182,168,18,9,230,36,44,2,11,17.49,20.01,"=""040880001113""",4403,Tully Elementary Accelerated Magnet School,Tucson Unified District,32,Mathematics
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0406""",Yes under Community Eligibility Option (CEO),Washington Elementary School District (4260),"=""0409060""",495,Elementary,385,226,269,8,10,263,36,143,2,33,15.97,31.00,"=""040906000946""",4260,Tumbleweed Elementary School,Washington Elementary School District,48,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0406""",Yes under Community Eligibility Option (CEO),Washington Elementary School District (4260),"=""0409060""",495,Elementary,385,226,269,8,10,263,36,143,2,33,15.97,31.00,"=""040906000946""",4260,Tumbleweed Elementary School,Washington Elementary School District,43,Mathematics
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Fowler Elementary District (4273),"=""0403060""",647,Elementary,485,355,292,4,11,497,68,49,6,12,20.85,31.03,"=""040306002495""",4273,Tuscano Elementary School,Fowler Elementary District,35,English Language Arts
Arizona,Maricopa County,"=""04013""",2-No,5-Title I schoolwide school,"=""0403""",Yes participating without using any Provision or the CEO,Fowler Elementary District (4273),"=""0403060""",647,Elementary,485,355,292,4,11,497,68,49,6,12,20.85,31.03,"=""040306002495""",4273,Tuscano Elementary School,Fowler Elementary District,27,Mathematics
Arizona,Pima County,"=""04019""",2-No,1-Title I targeted assistance eligible school-No program,"=""0401""",Yes participating without using any Provision or the CEO,Marana Unified District (4404),"=""0404630""",608,Elementary,181,307,301,5,25,186,11,350,"=""0""",31,16.17,37.60,"=""040463002197""",4404,Twin Peaks Elementary School,Marana Unified District,60,English Language Arts
Arizona,Pima County,"=""04019""",2-No,1-Title I targeted assistance eligible school-No program,"=""0401""",Yes participating without using any Provision or the CEO,Marana Unified District (4404),"=""0404630""",608,Elementary,181,307,301,5,25,186,11,350,"=""0""",31,16.17,37.60,"=""040463002197""",4404,Twin Peaks Elementary School,Marana Unified District,61,Mathematics
Arizona,Pima County,"=""04019""",2-No,1-Title I targeted assistance eligible school-No program,"=""0402""",No,Tucson Unified District (4403),"=""0408800""",1097,High,–,463,634,4,128,386,13,489,"=""0""",77,21.26,51.60,"=""040880001441""",4403,University High School,Tucson Unified District,92,English Language Arts
Arizona,Pima County,"=""04019""",2-No,1-Title I targeted assistance eligible school-No program,"=""0402""",No,Tucson Unified District (4403),"=""0408800""",1097,High,–,463,634,4,128,386,13,489,"=""0""",77,21.26,51.60,"=""040880001441""",4403,University High School,Tucson Unified District,98,Mathematics
