State Name,County Name,County Number,Charter School,Title I School Status,Congressional Code,National School Lunch Program,School Level,Agency Name,Agency ID - NCES Assigned,Total Students All Grades (Excludes AE),Free and Reduced Lunch Students,Male Students,Female Students,American Indian/Alaska Native Students,Asian or Asian/Pacific Islander Students,Hispanic Students,Black or African American Students,White Students,Nat. Hawaiian or Other Pacific Isl. Students,Two or More Races Students,Full-Time Equivalent (FTE) Teachers,Pupil/Teacher Ratio,School ID - NCES Assigned,District Entity ID,School Name,District Name,Percent Passing,Subject
ARIZONA,Maricopa County,4013.0,2-No,4-Title I schoolwide eligible school-No program,406.0,Yes participating without using any Provision or the CEO,Other,Deer Valley Unified District (4246),407750.0,64,21,60,4,0,1,14,8,38,0,3,16.21,3.95,"=""040775003454""",4246,Vista Peak,Deer Valley Unified District,*,English Language Arts
ARIZONA,Maricopa County,4013.0,2-No,4-Title I schoolwide eligible school-No program,406.0,Yes participating without using any Provision or the CEO,Other,Deer Valley Unified District (4246),407750.0,64,21,60,4,0,1,14,8,38,0,3,16.21,3.95,"=""040775003454""",4246,Vista Peak,Deer Valley Unified District,*,Mathematics
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,406.0,Yes participating without using any Provision or the CEO,Middle,Paradise Valley Unified District (4241),405930.0,576,175,309,267,11,5,347,41,140,1,31,34.07,16.91,"=""040593001218""",4241,Vista Verde Middle School,Paradise Valley Unified District,23,English Language Arts
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,406.0,Yes participating without using any Provision or the CEO,Middle,Paradise Valley Unified District (4241),405930.0,576,175,309,267,11,5,347,41,140,1,31,34.07,16.91,"=""040593001218""",4241,Vista Verde Middle School,Paradise Valley Unified District,10,Mathematics
Arizona,Maricopa County,4013.0,2-No,6-Not a Title I school,408.0,Yes participating without using any Provision or the CEO,Elementary,Peoria Unified School District (4237),406250.0,1112,53,570,542,3,21,209,32,773,3,71,56.67,19.62,"=""040625002657""",4237,Vistancia Elementary School,Peoria Unified School District,61,English Language Arts
Arizona,Maricopa County,4013.0,2-No,6-Not a Title I school,408.0,Yes participating without using any Provision or the CEO,Elementary,Peoria Unified School District (4237),406250.0,1112,53,570,542,3,21,209,32,773,3,71,56.67,19.62,"=""040625002657""",4237,Vistancia Elementary School,Peoria Unified School District,50,Mathematics
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,404.0,Yes participating without using any Provision or the CEO,Middle,Wickenburg Unified District (4236),409190.0,148,56,80,68,1,0,61,4,79,0,3,11.50,12.87,"=""040919000953""",4236,Vulture Peak Middle School,Wickenburg Unified District,*,English Language Arts
Arizona,Maricopa County,4013.0,2-No,5-Title I schoolwide school,404.0,Yes participating without using any Provision or the CEO,Middle,Wickenburg Unified District (4236),409190.0,148,56,80,68,1,0,61,4,79,0,3,11.50,12.87,"=""040919000953""",4236,Vulture Peak Middle School,Wickenburg Unified District,27,Mathematics
Arizona,Pima County,4019.0,2-No,5-Title I schoolwide school,402.0,Yes under Community Eligibility Option (CEO),Elementary,Tucson Unified District (4403),408800.0,211,130,110,101,3,1,114,19,61,2,11,19.11,11.04,"=""040880000900""",4403,W Arthur Sewel Elementary School,Tucson Unified District,*,English Language Arts
Arizona,Pima County,4019.0,2-No,5-Title I schoolwide school,402.0,Yes under Community Eligibility Option (CEO),Elementary,Tucson Unified District (4403),408800.0,211,130,110,101,3,1,114,19,61,2,11,19.11,11.04,"=""040880000900""",4403,W Arthur Sewel Elementary School,Tucson Unified District,28,Mathematics
